product-link href,media-image__image src,product-link,money-amount__main,product-grid-product-info-colors__text
https://www.zara.com/de/en/textured-check-shirt-p06103440.html,https://static.zara.net/assets/public/844a/bdf1/3f4d43e9a332/ca9dd8300241/06103440700-e1/06103440700-e1.jpg?ts=1740133313339&w=289,TEXTURED CHECK SHIRT,39.95 EUR,
https://www.zara.com/de/en/patchwork-flare-fit-jeans-p04048434.html,https://static.zara.net/assets/public/a184/04ad/b2d94ebeab04/a73b4930667a/04048434427-e1/04048434427-e1.jpg?ts=1739876075430&w=289,PATCHWORK FLARE FIT JEANS,49.95 EUR,
https://www.zara.com/de/en/easy-care-jogger-waist-trousers-p00706870.html,https://static.zara.net/assets/public/5b49/efcb/668640db9b3c/3a5949827413/07484870814-e1/07484870814-e1.jpg?ts=1739952448485&w=289,EASY CARE JOGGER WAIST TROUSERS,29.95 EUR,8
https://www.zara.com/de/en/textured-comfort-trousers-p00706648.html,https://static.zara.net/assets/public/62dd/3b45/a550420ab937/4638b65fdf92/00706650983-e1/00706650983-e1.jpg?ts=1739876112135&w=289,TEXTURED COMFORT TROUSERS,39.95 EUR,8
https://www.zara.com/de/en/straight-leg-jeans-p08062410.html,https://static.zara.net/assets/public/9a94/5ef4/d7754d05b92d/97726d9d076d/08062410407-e1/08062410407-e1.jpg?ts=1739376677575&w=289,STRAIGHT-LEG JEANS,39.95 EUR,5
https://www.zara.com/de/en/slim-fit-comfort-trousers-p06861441.html,https://static.zara.net/assets/public/aae4/a075/143547178fba/5a13b3f33338/06861441801-e1/06861441801-e1.jpg?ts=1739457905408&w=289,SLIM FIT COMFORT TROUSERS,39.95 EUR,6
https://www.zara.com/de/en/textured-comfort-trousers-p00706648.html,https://static.zara.net/assets/public/66ce/2b19/cd724cccb044/2006df3030e2/00706650720-e1/00706650720-e1.jpg?ts=1739459885557&w=289,TEXTURED COMFORT TROUSERS,39.95 EUR,8
https://www.zara.com/de/en/textured-comfort-overshirt-p04333400.html,https://static.zara.net/assets/public/ea1e/1b3e/fa4b4c81a55d/157badb0e4e3/04333400800-e1/04333400800-e1.jpg?ts=1736411412729&w=289,TEXTURED COMFORT OVERSHIRT,49.95 EUR,2
https://www.zara.com/de/en/leather-effect-jacket-p08281401.html,https://static.zara.net/assets/public/db00/fcd8/0c694a2982a5/96ed482b4741/08281401800-e1/08281401800-e1.jpg?ts=1739196976423&w=289,LEATHER EFFECT JACKET,49.95 EUR,1
https://www.zara.com/de/en/jacket-with-bound-seams-p03046360.html,https://static.zara.net/assets/public/6e0a/418f/be9440869b9c/7664b7c13a8e/03046360800-e1/03046360800-e1.jpg?ts=1739204506022&w=289,JACKET WITH BOUND SEAMS,69.95 EUR,1
https://www.zara.com/de/en/cropped-fit-jacket-p04272272.html,https://static.zara.net/assets/public/639b/e5fa/41d84288aa73/050b6625999f/04272272505-e1/04272272505-e1.jpg?ts=1739204513049&w=289,CROPPED FIT JACKET,69.95 EUR,
